Embedding Model,Num Classes,Samples,Accuracy,F1 Score Macro,Precision Macro,Recall Macro,Latency per image (ms),Outlier Rate
siglip_so400m,20,785,0.8897599185460943,0.8430132755177645,0.8510806597311843,0.8447121820151953,7630.459192513775,0.10473058532792925
siglip_so400m,30,1217,0.8994441276759213,0.8487970811667751,0.8577747666762384,0.8503148765869313,7630.458192359522,0.08539944087082044
siglip_so400m,50,1951,0.8338071555418806,0.7790943764590494,0.7916120765345019,0.7841244543497516,7630.4611687724155,0.0868456466845751
siglip_so400m,70,2809,0.8055638713530048,0.7506714271868626,0.7641746746402236,0.7595838080950197,7630.46101389869,0.08029898812180715
siglip_so400m,91,3674,0.7708219923788786,0.708623635609323,0.7258126669752955,0.7139454323107824,7630.46121852185,0.07403375068045727
siglip2_base,5,206,0.9339744993827337,0.8811353223806562,0.8866707617023595,0.8804550135854484,477.7030818776813,0.11631242044086436
siglip2_base,10,383,0.8586283449013561,0.8276953272705045,0.8432241809348662,0.8336248413213833,477.6994959147557,0.10534691264935128
siglip2_base,20,827,0.837299148300491,0.8230520483693244,0.8445130338847712,0.8248630330181543,477.69956992845937,0.09628689895678559
siglip2_base,30,1223,0.7763794401300643,0.7327513864417411,0.7563884613698031,0.7356462519132586,477.6967071100124,0.07878719825646731
siglip2_base,50,2099,0.7058328130585801,0.6712866873822857,0.698031072973445,0.6723505549569675,477.70208652071625,0.07406246513616288
siglip2_base,70,2796,0.662681535519583,0.6118437199124596,0.6343027509488619,0.6137170616483713,477.69808929295203,0.07086818219993478
siglip2_base,91,3674,0.6290146978769733,0.5759083334333251,0.6017046768537887,0.5777665251798595,477.6993237985397,0.06477953184540011
siglip2_so400m,5,211,0.984384406551676,0.9845560643790474,0.986186331336383,0.9844239631336406,8220.3500181479,0.0940463392319892
siglip2_so400m,10,391,0.9236808784102276,0.9151446598097952,0.9294098685846569,0.9129707491426833,8220.343758057064,0.13756982752611602
siglip2_so400m,20,783,0.9075860960876682,0.8709311877645535,0.8749555140727894,0.8757928453007271,8220.343187559929,0.1264031043710105
siglip2_so400m,30,1169,0.9019600373642799,0.8762835565839543,0.8846165165084214,0.8846518684884963,8220.34407799421,0.11162007653893954
siglip2_so400m,50,2036,0.8675692425317809,0.8326830496350203,0.8423451887612323,0.8399216801565033,8220.343511465828,0.10349841219313968
siglip2_so400m,70,2809,0.8201745811815137,0.7643210879050165,0.7791166306399125,0.7695112809670708,8220.344080334946,0.10206785649519337
siglip2_so400m,91,3674,0.7857920522591181,0.7251951566469917,0.7432716612437612,0.7294059062488629,8220.345445018882,0.09716929776810017
bioclip_v1,5,173,0.9700618679633444,0.9598005062535714,0.962207814121981,0.961769535580489,454.094408939256,0.11634742145910729
bioclip_v1,10,410,0.9277216841963755,0.911456549883507,0.9260921816937046,0.9129506130527245,454.09140403869304,0.08838169360686549
bioclip_v1,20,760,0.8763064812420677,0.8605632520555002,0.8690157986194805,0.8602070105742227,454.0879902822926,0.09399047358307858
bioclip_v1,30,1220,0.8607822356734921,0.8183463089866587,0.8299062446961086,0.8234075281298571,454.0873018542728,0.09097368179894152
bioclip_v1,50,2003,0.8189246439315454,0.7696843102584876,0.7893169168482662,0.7718397023320749,454.0885956107735,0.0806287821626613
bioclip_v1,70,2821,0.7969380996133544,0.7380881754426883,0.7527115357532989,0.7454192157577315,454.088901983673,0.07667755663508893
bioclip_v1,91,3674,0.7724550898203593,0.7114244116749124,0.7319342044776933,0.717894392798581,454.0893883263072,0.07267283614589004
bioclip_v2,5,201,0.9937094245898959,0.9928805113574386,0.9924982456140352,0.9935364461018829,2394.915840345053,0.1365664478147412
bioclip_v2,10,377,0.987454665428956,0.9866412357601879,0.9865755081627199,0.9872321755428448,2394.911864492064,0.12804246595143046
bioclip_v2,20,768,0.9713608177603869,0.9326719978964697,0.9328155287077777,0.9399661392522844,2394.9100427240564,0.10085830189944534
bioclip_v2,30,1273,0.9426941006823026,0.9080199748521031,0.9091897408605394,0.9151763986555572,2394.909835800653,0.11175960502280362
bioclip_v2,50,1997,0.9334566702417924,0.8933616158794566,0.8963863094709857,0.9022029377530734,2394.9093464985103,0.10296712274456296
bioclip_v2,70,2794,0.896563783454323,0.840369638002643,0.8452455685897128,0.8554726729166783,2394.9102466369277,0.09969246866332293
bioclip_v2,91,3674,0.8924877517691889,0.8325970010173217,0.8353588004869368,0.849831089076261,2394.910060655955,0.10043549265106151
clip_base,5,210,0.9339120658307222,0.9142776485926698,0.9134684842842106,0.923095158317054,452.4635771761883,0.13860847261633022
clip_base,10,412,0.8865212412026832,0.8657169088415593,0.8847372554071631,0.8716218331628369,452.45897202225734,0.10355426710926212
clip_base,20,860,0.7940935647746376,0.7758977135073322,0.800652548586833,0.7734654784215534,452.4576901512767,0.08327698141465742
clip_base,30,1233,0.7707259242428517,0.7368462519956205,0.7528834952176493,0.7452994003546929,452.4586133363882,0.07613827768243563
clip_base,50,1980,0.7179991176732661,0.6684598426138779,0.6954022088495855,0.6704807151918438,452.4578730350433,0.06587676725159153
clip_base,70,2758,0.66169939148947,0.6016434255640826,0.6345454333319486,0.6072871909609111,452.4577413222829,0.06287028363445632
clip_base,91,3674,0.6227544910179641,0.5704665237340855,0.6044429934028229,0.5751704860709983,452.4579407816964,0.05688622754491017
clip_large,5,216,0.9543635288750881,0.9309721924519956,0.9491628592107866,0.9282065647116357,2269.002313299922,0.0937921274447514
clip_large,10,445,0.9198087105593794,0.9120609097621039,0.9258089141190494,0.907555305836118,2268.982074213548,0.09029598314133742
clip_large,20,811,0.8795249017711937,0.8360157736880538,0.8505289120978207,0.8330297273364147,2268.9870353193865,0.08822674648823543
clip_large,30,1237,0.8396497896123659,0.7882362764664781,0.809394615571359,0.7853334614966186,2268.982498182886,0.0720640622154832
clip_large,50,1972,0.769169004842761,0.7214581065076199,0.7450440853056158,0.7167433609444714,2268.981887727178,0.0720965280525399
clip_large,70,2830,0.7478754003340844,0.7061642716389868,0.7320093924279345,0.701922399252156,2268.9821844215417,0.06632163974292973
clip_large,91,3674,0.7082199237887861,0.6629541170451154,0.6884797305296549,0.6585100467593378,2268.9836785621374,0.06341861731083288
